icnfdr,u10,v10,skt,stl1
0,0.05683235,0.95789635,276.28003,280.07422
2.7066188,-3.84134,-1.6081448,271.26147,276.0354
0,-3.0894995,1.3688545,274.17432,276.51562
8.423843,-2.9186115,-0.85068756,275.58667,277.18604
0,-2.0144224,5.1461506,279.07617,280.63086
0,-1.2109299,0.2784599,273.91284,279.02368
11.883926,-2.0515337,-0.5332287,273.79663,277.3745
0,-4.753063,4.390954,276.08667,279.979
0,-4.378174,3.0123348,278.20752,280.3938
0,-3.1793365,2.3160067,278.36426,281.00854
0,-1.9426298,1.4761028,273.16333,278.6648
0,-2.3708658,-0.4743184,277.125,279.72266
2.7066188,-3.221139,0.12732631,279.4746,280.64404
0,-2.5965595,1.9795332,277.3977,280.83643
0,1.7349272,2.4391575,274.9873,279.6587
0,-2.8050594,-0.03396287,274.19263,277.8501
0,-0.5818437,-0.22001183,266.51685,277.5022
0,-1.7162685,-0.88905466,267.4878,275.4397
0,-0.97883177,1.5238533,273.72827,276.83252
0,-3.867135,-1.4274979,268.64185,275.36963
3.3080897,-1.3231449,-0.6520995,268.22974,275.11475
3.608825,-1.2921448,-0.6778361,270.1455,275.79736
3.608825,-1.4552889,-0.88882434,269.8462,275.93896
3.608825,-3.1675653,-1.5599012,271.8506,275.78198
3.608825,-2.5869284,-1.2283602,273.24902,276.51196
13.1248665,-4.033023,-1.8399124,275.1233,278.59912
7.483639,-0.72724843,-0.36165208,272.54614,277.1089
9.364048,-0.8995786,-0.44607693,271.8606,276.25415
0,-1.6669731,-0.53286374,271.95557,276.15234
0,-2.6819544,-1.256566,268.8069,275.93115
12.485397,-4.2460613,-2.1811523,271.26,275.573
10.943722,-2.1691532,-0.98176366,272.0337,275.57422
13.989075,-1.4991436,-0.77486145,272.53442,275.79224
12.824131,-2.5724506,-0.75238174,274.10474,276.6355
12.485397,-1.658309,-0.77131945,273.14917,276.7041
0,1.4378262,3.8791819,278.34204,280.68774
0,-1.0513878,-0.9878644,267.91016,276.50586
3.0073543,-3.2499514,-1.354804,273.0752,276.55493
4.8117666,-1.7707329,-1.042738,273.59277,276.7312
4.2102957,-2.1031942,-1.1388502,274.31885,277.2876
12.824131,-1.787859,-0.86883503,273.76392,277.70825
0,1.926527,-0.22833961,275.1748,279.61743
0,-2.3295088,-1.4535036,270.98706,276.9873
4.511031,-3.9394217,-2.3582392,275.79053,278.97607
5.4132376,0.13879317,0.47422785,275.79834,279.04956
16.021477,-1.3240423,-2.2010174,269.59863,275.45776
15.382009,-2.423605,-0.8938977,270.21533,275.04785
15.005276,-1.2504272,-0.6758266,270.48267,275.28564
16.284214,-2.3371744,-1.1431894,271.7412,275.37646
11.282455,-1.2770681,-0.7653275,271.72168,276.08765
13.4636,-2.4926987,-1.1288567,274.25977,277.7522
11.244457,-1.8789539,-0.9961473,275.5564,278.79175
0,2.3526096,-1.2154408,270.9214,276.04077
0,-0.39155203,2.36026,268.70337,274.86304
0,-3.600852,4.3580723,270.36255,274.6333
0,-1.029149,-0.58099025,272.27832,274.85303
0,0.5865846,0.591825,270.8733,275.61157
0,-2.2977028,3.4057903,273.08813,276.1526
0,0.034282323,2.8060522,271.45288,276.32837
0,2.82979,1.8771353,272.34473,276.37744
0,-3.2415152,-1.0206747,268.87354,276.45898
0,-0.9304265,-0.49245483,269.97974,276.6582
0,-1.8831377,-0.4948355,271.73364,276.8335
0,-0.6355328,2.531989,271.72095,276.86743
0,-0.15810424,1.1290989,270.62793,276.86133
0,-1.8435383,-0.42220193,270.82983,276.87183
0,-1.5709133,-0.4457503,269.5879,276.77466
0,-2.0052805,-0.9504571,269.45435,276.74487
0,-3.4340305,4.0233965,277.9319,277.0559
0,-1.5130091,0.8352988,275.48975,277.29956
0,-1.6312342,0.62310797,275.26123,277.2163
0,-2.0780506,-0.06136468,274.8081,276.98633
0,-2.5065413,-0.051292744,276.385,278.59375
0,0.118205845,-0.6823111,275.77173,278.28906
2.7066188,-2.4927988,-1.076664,271.6775,276.79883
3.9095604,-1.3779459,-0.7577976,272.18506,276.98657
4.511031,-1.558876,-0.8187788,274.55054,278.2444
0,-2.8922348,0.1259262,278.70068,281.48755
0,-1.5247984,1.3274431,276.74854,280.08545
0,-1.9480104,-0.33526462,275.37964,279.1538
0,-2.2770796,2.1979904,273.00537,277.39893
0,-1.1673536,-0.05089998,273.78613,278.30933
0,0.21408898,0.61082023,273.96167,277.91797
5.112502,-0.6496656,-0.8818582,270.44067,276.2578
0,-1.6651745,-0.8805463,270.3943,275.81567
4.8117666,-3.0350647,-1.4600725,270.56274,275.88306
4.4762845,-3.0787382,0.1798594,274.39502,278.66016
0,1.8834543,2.402997,274.813,277.8794
0,-1.1499453,-0.72099036,270.5298,276.80957
0,-1.168067,-0.50096923,270.3291,276.95532
3.9095604,-1.542367,-0.8032423,272.38672,277.20264
5.979962,-1.0452881,-0.5695863,273.71118,278.42114
0,3.0354023,0.27144426,274.27637,279.02856
0,-0.77240807,-0.61022174,267.59082,275.35742
2.7066188,-1.1076565,-0.7679339,269.63428,275.7854
15.043275,-0.6007242,-0.32109404,271.77832,276.49536
6.619431,-1.9918575,-0.20596498,277.57056,280.12646
6.5814323,-1.7526779,-0.7441102,276.83154,279.99902
9.402046,-1.4291077,-0.7970299,275.94434,279.9602
20.421764,-1.5932817,-0.8715096,277.88696,282.04175
6.2806973,-0.64232415,-0.4607814,280.08325,283.2129
11.883926,-1.3294678,-0.771893,277.6765,282.3562
9.6647835,-1.2993412,-0.9917482,274.58936,278.76025
11.845928,-0.6795815,-0.43482763,274.03027,278.03296
15.9834795,-1.0909948,-0.594236,274.69678,278.74512
16.322212,-1.7181215,-0.83698875,276.37964,281.0039
11.282455,-1.1603136,-0.7110382,276.18384,280.5288
0,0.79668224,0.5068812,275.77734,278.8806
4.511031,-0.5254149,-0.8458556,270.76294,275.96167
19.6683,-1.7501316,-1.213665,273.35962,277.08447
12.86213,-2.1878586,-1.5464725,277.35132,279.83252
16.284214,-2.2724276,-1.3370476,279.1975,282.25244
14.742539,-1.5165701,-0.7883407,279.19775,283.40063
23.20438,-2.3895044,-1.3682747,279.88037,282.5559
21.96344,-2.223217,-1.2268982,279.15503,282.47217
26.626465,-3.3039627,-1.567564,279.4021,282.43628
23.505116,-3.0121279,-1.5088377,281.50708,284.3518
31.628225,-2.4727345,-1.3776321,282.92383,286.13647
29.523077,-2.4287949,-1.3320646,285.54736,288.2151
21.96344,-1.7809458,-0.92684054,284.84326,288.13208
13.965519,-0.117084265,-0.19325721,280.66113,284.6482
0,0.18160552,2.4146557,276.46143,281.6604
0,-1.5847235,-0.21562314,275.52344,280.31445
0,0.7558506,-0.63306123,276.16797,279.9829
0,-1.2232714,-0.09776354,276.37866,280.94458
0,-0.05396233,0.21373928,278.1377,281.21558
0,-0.97040784,-0.40586972,275.77905,281.07666
9.364048,-1.7523937,-0.8171297,277.17896,280.4912
7.822373,-1.509676,-0.9640288,277.26953,279.9358
5.6412277,-0.63229907,-0.8076006,277.2373,280.04883
12.661265,-0.6256472,-0.50303835,277.4248,280.06934
17.820614,-1.9965096,-1.0437288,280.62183,282.80298
25.242699,-3.3993702,-1.8163567,283.8579,285.69043
25.461842,-2.4167585,-1.2607689,284.74927,288.1499
35.836815,-3.065278,-1.0850725,286.18848,288.97485
29.106905,-2.9856453,-1.6419945,286.21216,288.6953
38.10131,-2.5276089,-1.4825678,286.41235,289.6892
37.49984,-1.8708801,-0.9827114,285.2871,288.39355
32.521637,-0.9936611,-0.5897269,285.17896,288.1836
23.347847,-0.85451144,-0.5149774,286.12427,288.7998
23.947557,-1.6004181,-0.72373915,287.14185,289.56104
32.568428,-1.481,-0.72332406,287.00488,289.76318
